UNH ID #,Sample Name,Collection Date,Collection Time,Project,Sub_Project,Sub_ProjectA,NPOC (mg C/L),TDN (mg N/L),DON,NO3_Final,NO3_Status,NO3_Cd,NH4 (ug N/L),NH4_IC,Cation Run Date,Cl (mg Cl/L),NO3 (mg N/L),SO4 (mg S/L),Na (mg Na/L),K (mg K/L),Mg (mg Mg/L),Ca (mg Ca/L),PO4 (ug P/L),PO4 (ugP/L),SiO2 (mg SiO2/L),WRRC sample info.pH,WRRC sample info.Cond,Spec_Cond,DO_Conc,DO%,Temperature,DTWT,Volume,Field Notes,Lab_Notes,Sample Type,Logger,WRRC Benchtop pH.pH,Closed Cell pH,Conductivity (uS/cm),WRRC Oxalate.Oxalate,Acetate (mg/L),Formate (mg/L),Oxalate (mg/L),Year,Start_Date_Time,BatchID
57363,ppt6North,14-Feb-06,2:15:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,8500,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
57401,ppt1thomp,13-Feb-06,11:45:00 AM,Lamprey,Wet Deposition,,0.35,0.24,-0.19,0.16,good,,267.85,175.48,16-Oct-06,2.22,0.16,0.13,1.50,0.11,0.04,0.14,1.77,,0.02,,,,,,,,57.5,,Delete DON too low?,precipitation,Anna Bourakovsky,,,,0.02,,,,2006,,
57460,ppt1thomp,21-Feb-06,8:00:00 AM,Lamprey,Wet Deposition,,1.21,0.58,-0.13,0.35,good,,364.89,242.95,16-Oct-06,0.84,0.35,0.79,0.47,0.12,0.03,0.03,3.32,,0.01,,,,,,,,172,,,precipitation,Anna Bourakovsky,,,,0.05,,,,2006,,
57601,ppt1thomp,27-Feb-06,8:00:00 AM,Lamprey,Wet Deposition,,0.56,0.78,-0.19,0.69,good,,281.89,179.59,16-Oct-06,0.52,0.69,0.58,0.27,0.02,0.02,0.11,2.54,,0.00,,,,,,,,409,,,Precipitation,Michelle Daley,,,,0.03,,,,2006,,
57925,ppt6North,14-Mar-06,,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,1900,post rain event,,Precipitation,Heather Gilbert,,,,,,,,2006,,
58078,ppt1Thomp,13-Mar-06,8:00:00 AM,Lamprey,Wet Deposition,,1.47,1.23,-0.10,0.80,good,0.80,530.91,363.83,16-Oct-06,2.07,,1.18,1.20,0.07,0.11,0.22,5.84,,-0.01,,,,,,,,192.5,,,Precipitation,Michelle Daley,,,,0.14,,,,2006,,
58120,ppt1Thomp,14-Mar-06,9:45:00 AM,Lamprey,Wet Deposition,,1.33,0.81,-0.06,0.53,good,0.53,340.84,218.37,16-Oct-06,0.34,,1.04,0.26,0.03,0.02,0.13,4.29,,0.06,,,,,,,,1367,raining during collection,,Precipitation,Michelle Daley,,,,0.12,,,,2006,,
58490,ppt1Thomp,15-Mar-06,8:00:00 AM,Lamprey,Wet Deposition,,2.20,1.20,-0.10,0.77,good,,535.22,379.74,16-Oct-06,1.23,0.77,1.17,0.91,0.17,0.03,0.50,10.10,,0.02,,,,,,,,34,little vol,,Precipitation,Michelle Daley,,,,0.10,,,,2006,,
59114,ppt1Thomp,03-Apr-06,8:00:00 AM,Lamprey,Wet Deposition,,2.28,1.50,-0.18,0.81,good,0.81,876.78,557.84,16-Oct-06,0.70,,1.56,0.36,0.09,0.03,0.17,14.17,,0.00,,,,,,,,180.5,,,Precipitation,Michelle Daley,,,,0.15,,,,2006,,
59115,ppt1Thomp,04-Apr-06,8:00:00 AM,Lamprey,Wet Deposition,,0.41,0.17,-0.09,0.12,good,,148.60,94.97,31-Oct-06,1.06,0.12,0.30,0.79,0.03,0.07,0.06,0.41,,-0.01,,,,,,,,1550.5,Heavy rains,,Precipitation,Michelle Daley,,,,0.05,,,,2006,,
59116,ppt1Thomp,05-Apr-06,8:00:00 AM,Lamprey,Wet Deposition,,0.66,0.15,-0.04,0.12,good,,70.47,37.92,16-Oct-06,0.66,0.12,0.19,0.41,0.02,0.04,0.04,1.19,,-0.03,,,,,,,,1397,,2 frozen bottles for IC test,Precipitation,Michelle Daley,,,,0.03,,,,2006,,
59117,ppt1Thomp,06-Apr-06,8:00:00 AM,Lamprey,Wet Deposition,,0.36,0.36,-0.07,0.30,good,,126.76,73.73,16-Oct-06,0.13,0.30,0.27,0.07,0.01,0.00,0.00,0.61,,-0.02,,,,,,,,675.5,,2 frozen bottles for IC test,Precipitation,Michelle Daley,,,,0.04,,,,2006,,
59171,ppt6North,11-Apr-06,12:45:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,1920,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
59172,ppt1Thomp,10-Apr-06,8:00:00 AM,Lamprey,Wet Deposition,,1.33,0.69,-0.19,0.51,good,,359.33,245.18,31-Oct-06,0.74,0.51,0.72,0.54,0.03,0.04,0.21,6.61,,-0.01,,,,,,,,284,,two 60 ml frozen bottles for IC test,Precipitation,Michelle Daley,,,,0.07,,,,2006,,
59371,ppt1Thomp,14-Apr-06,8:00:00 AM,Lamprey,Wet Deposition,,3.44,2.73,,1.67,good,,,1414.25,16-Oct-06,2.29,1.67,1.97,0.85,0.14,0.14,0.84,17.27,,0.02,,,,,,,,58,1st bucket collected 4/13/06 9:00 am; second collected 8:00 am 4/14/06,Deleted NH4 1741.15; combined two buckets with little pecip,precipitation,Michelle Daley,,,,0.17,,,,2006,,
59617,ppt1Thomp,24-Apr-06,8:00:00 AM,Lamprey,Wet Deposition,,0.81,0.44,0.04,0.23,good,,173.85,120.19,16-Oct-06,1.30,0.23,0.45,0.95,0.03,0.14,0.45,3.12,,0.04,,,,,,,,1101,small amount of debris in sample,,precipitation,Michelle Daley,,,,0.06,,,,2006,,
59622,ppt1Thomp,25-Apr-06,8:00:00 AM,Lamprey,Wet Deposition,,1.22,0.82,-0.01,0.47,good,0.47,363.50,227.01,16-Oct-06,0.60,,0.71,0.20,0.03,0.02,0.09,3.71,,0.02,,,,,,,,76,,,precipitation,Michelle Daley,,,,0.10,,,,2006,,
60146,ppt1Thomp,02-May-06,9:00:00 AM,Lamprey,Wet Deposition,,-0.03,0.03,-0.05,0.03,good,,52.57,28.78,16-Oct-06,0.13,0.03,0.24,0.09,0.01,0.01,0.03,0.03,,-0.01,,,,,,,,846.5,,,Precipitation,Michelle Daley,,,,0.03,,,,2006,,
60147,ppt1Thomp,03-May-06,9:00:00 AM,Lamprey,Wet Deposition,,0.31,0.04,-0.02,0.03,good,,37.35,16.37,16-Oct-06,0.31,0.03,0.07,0.24,0.01,0.02,0.05,0.22,,-0.03,,,,,,,,3109.5,,,Precipitation,Michelle Daley,,,,0.02,,,,2006,,
60158,ppt1thomp,04-May-06,2:30:00 PM,Lamprey,Wet Deposition,,0.56,0.12,-0.10,0.09,good,,126.83,99.52,31-Oct-06,1.23,0.09,0.27,0.82,0.06,0.08,0.17,2.35,,-0.03,,,,,,,,253.5,,,Precipitation,Anna Bourakovsky,,,,0.03,,,,2006,,
60174,ppt6North,05-May-06,3:30:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,3700,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
60212,ppt1thomp,10-May-06,9:00:00 AM,Lamprey,Wet Deposition,,0.45,0.08,-0.04,0.05,good,,73.94,50.48,31-Oct-06,0.22,0.05,0.14,0.19,0.06,0.02,0.04,1.38,,0.00,,,,,,,,1279.5,,,Precipitation,Michelle Daley,,,,0.02,,,,2006,,
60213,ppt1thomp,11-May-06,11:00:00 AM,Lamprey,Wet Deposition,,2.62,0.82,,,2 values,,430.34,,,,,,,,,,9.71,,,,,,,,,,24,,,Precipitation,Michelle Daley,,,,,,,,2006,,
60232,ppt1thomp,12-May-06,4:00:00 PM,Lamprey,Wet Deposition,,0.25,0.12,-0.09,0.10,good,,107.12,77.96,31-Oct-06,0.66,0.10,0.23,0.45,0.02,0.05,0.07,0.61,,-0.03,,,,,,,,193,,,Precipitation,Michelle Daley,,,,0.04,,,,2006,,
60237,ppt6North,,,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,,Did not check; Post record breaking rains,,Precipitation,Heather Gilbert,,,,,,,,,,
60274,ppt1Thomp,19-May-06,10:00:00 AM,Lamprey,Wet Deposition,,0.67,0.17,0.04,0.06,good,,75.84,52.88,31-Oct-06,0.37,0.06,0.15,0.30,0.19,0.03,0.07,1.38,,0.00,,,,,,,,,bucket overflowed,,precipitation,Michelle Daley,,,,0.00,,,,2006,,
60275,ppt1Thomp,19-May-06,10:00:00 AM,Lamprey,Wet Deposition,,0.33,0.17,0.03,0.06,good,,77.35,51.27,31-Oct-06,0.36,0.06,0.15,0.29,0.03,0.03,0.06,0.51,,-0.03,,,,,,,,,bucket overflowed,Rep of 60274,precipitation,Michelle Daley,,,,0.00,,,,2006,,
60324,ppt6North,23-May-06,2:00:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,19000,,bucket was FULL,Precipitation,Heather Gilbert,,,,,,,,2006,,
60325,ppt1Thomp,23-May-06,8:00:00 AM,Lamprey,Wet Deposition,,0.91,0.27,-0.07,0.17,good,,175.84,129.46,31-Oct-06,0.28,0.17,0.42,0.21,0.10,0.02,0.04,2.54,,0.00,,,,,,,,1088.5,,,precipitation,Michelle Daley,,,,0.00,,,,2006,,
60390,ppt1Thomp,02-Jun-06,9:00:00 AM,Lamprey,Wet Deposition,,0.83,0.20,-0.10,0.13,good,,166.45,119.92,31-Oct-06,0.08,0.13,0.39,0.12,0.01,0.01,0.05,2.35,,-0.03,,,,,,,,2728,,,precipitation,Michelle Daley,,,,0.03,,,,2006,,
60411,ppt1Thomp,05-Jun-06,8:00:00 AM,Lamprey,Wet Deposition,,0.78,0.22,0.04,0.10,good,,88.92,64.47,31-Oct-06,0.14,0.10,0.19,0.12,0.05,0.01,0.03,2.16,,-0.01,,,,,,,,3236,,,precipitation,Michelle Daley,,,,0.08,,,,2006,,
60416,ppt6North,06-Jun-06,2:30:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,5000,,,precipitation,Heather Gilbert,,,,,,,,2006,,
60417,ppt1Thomp,08-Jun-06,8:30:00 AM,Lamprey,Wet Deposition,,0.30,0.16,0.01,0.09,good,,58.21,42.49,31-Oct-06,0.20,0.09,0.13,0.18,0.02,0.01,0.02,0.22,,-0.01,,,,,,,,3435.5,,,precipitation,Michelle Daley,,,,0.00,,,,2006,,
60444,ppt6North,14-Jun-06,4:45:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,5800,,,precipitation,Michelle Daley,,,,,,,,2006,,
60445,ppt1Thomp,09-Jun-06,8:00:00 AM,Lamprey,Wet Deposition,,0.33,0.10,0.01,0.05,good,,32.23,21.56,31-Oct-06,0.11,0.05,0.03,0.10,0.01,0.01,0.05,0.41,,-0.02,,,,,,,,656.5,,,precipitation,Michelle Daley,,,,0.00,,,,2006,,
60446,ppt1Thomp,12-Jun-06,8:00:00 AM,Lamprey,Wet Deposition,,0.49,0.28,0.00,0.18,good,,89.67,63.14,31-Oct-06,0.18,0.18,0.20,0.16,0.01,0.00,0.04,0.80,,-0.02,,,,,,,,757,Hayed on 6/11,,precipitation,Michelle Daley,,,,0.02,,,,2006,,
60447,ppt1Thomp,15-Jun-06,8:00:00 AM,Lamprey,Wet Deposition,,2.59,0.65,0.04,0.37,good,,240.39,180.32,31-Oct-06,0.32,0.37,0.52,0.33,0.05,0.02,0.18,0.22,,0.08,,,,,,,,292,,,precipitation,Michelle Daley,,,,0.09,,,,2006,,
60511,ppt1Thomp,21-Jun-06,8:00:00 AM,Lamprey,Wet Deposition,,1.90,0.69,0.04,0.24,good,,413.09,305.04,31-Oct-06,0.49,0.24,0.41,0.36,0.01,0.01,0.09,3.12,,0.00,,,,,,,,456.5,,,precipitation,Michelle Daley,,,,0.09,,,,2006,,
60541,ppt6North,22-Jun-06,10:45:00 AM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,0,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
60572,ppt1Thomp,26-Jun-06,8:00:00 AM,Lamprey,Wet Deposition,,1.92,0.82,0.04,0.32,good,,459.72,355.84,31-Oct-06,0.50,0.32,0.75,0.42,0.06,0.02,0.10,2.16,,-0.02,,,,,,,,1866.5,big bug in sample,,Precipitation,Shelby Flint,,,,0.06,,,,2006,,
60632,ppt6North,27-Jun-06,2:00:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,1300,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
60633,ppt1Thomp,29-Jun-06,8:00:00 AM,Lamprey,Wet Deposition,,1.24,0.38,0.02,0.23,good,,132.04,83.26,31-Oct-06,1.82,0.23,0.40,1.24,0.17,0.11,0.06,0.99,,-0.02,,,,,,,,300,,,Precipitation,Michelle Daley,,,,0.04,,,,2006,,
60654,ppt1Thomp,30-Jun-06,8:00:00 AM,Lamprey,Wet Deposition,,,2.41,-0.18,1.12,good,,1474.72,1201.43,31-Oct-06,1.09,1.12,2.40,0.48,0.01,0.03,0.19,11.84,,0.00,,,,,,,,,"little vol, some spilled in field",Deleted NPOC 7.014; Oxalate 0.250,Precipitation,Michelle Daley,,,,,,,,2006,,
60668,ppt1Thomp,05-Jul-06,8:00:00 AM,Lamprey,Wet Deposition,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,,very little vol,no samle saved,Precipitation,Michelle Daley,,,,,,,,2006,,
60669,ppt6North,03-Jul-06,2:15:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,120,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
60727,ppt6North,11-Jul-06,5:00:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,840,collected in middle of T storm; lost small amount of vol so added 10 mls to vol,,Precipitation,Michelle Daley,,,,,,,,2006,,
60973,ppt1Thomp,12-Jul-06,8:00:00 AM,Lamprey,Wet Deposition,,1.00,0.39,-0.08,0.15,good,,320.95,145.55,31-Oct-06,1.97,0.15,0.51,1.72,0.03,0.12,0.65,3.51,,-0.02,4.19,31,31,,,,,2637.5,,,Precipitation,Michelle Daley,,,,0.03,,,,2006,,
60983,ppt1Thomp,13-Jul-06,1:30:00 PM,Lamprey,Wet Deposition,,1.55,0.54,0.03,0.22,good,,292.71,218.09,31-Oct-06,0.11,0.22,0.73,0.09,0.01,0.00,0.03,1.38,,-0.02,4.78,23.2,23,,,,,2527,,,Precipitation,Michelle Daley,,,,0.06,,,,2006,,
61070,ppt6North,18-Jul-06,2:30:00 PM,Lamprey,Weekly,,,,,,2 values,,20.27,,,,,,,,,,,,,,,,,,,,3000,last time with bucket; funnel system established,,Precipitation,Heather Gilbert,,,,,,,,2006,,
61293,ppt1Thomp,24-Jul-06,8:00:00 AM,Lamprey,Wet Deposition,,2.16,0.85,0.03,0.42,good,,398.11,293.47,31-Oct-06,0.64,0.42,1.44,0.56,0.04,0.04,0.11,2.93,,-0.03,4.02,51,51,,,,,1663,no sample collected; changed bucket,,Precipitation,Michelle Daley,,,,0.16,,,,2006,,
61846,ppt1Thomp,31-Jul-06,8:00:00 AM,Lamprey,Wet Deposition,,0.93,0.24,0.00,0.13,good,,105.22,59.98,31-Oct-06,0.26,0.13,0.29,0.25,0.03,0.01,0.09,-0.36,,0.00,4.85,11,12,,,,,1498,,,Precipitation,Michelle L Daley,,,,0.00,,,,2006,,
61860,ppt1Thomp,03-Aug-06,8:00:00 AM,Lamprey,Wet Deposition,,4.30,0.93,0.06,0.40,good,,461.55,,22-Feb-07,1.73,0.40,0.71,0.64,0.28,0.07,0.29,3.84,,0.03,,,,,,,,125,,not enough vol for pH Cond,Precipitation,Michelle L Daley,,,,0.11,,,,2006,,
61861,ppt1Thomp,04-Aug-06,9:00:00 AM,Lamprey,Wet Deposition,,2.31,0.54,0.04,0.27,good,,232.24,,22-Feb-07,0.32,0.27,0.56,0.09,0.05,0.05,0.11,2.90,,0.07,,,,,,,,656,,,Precipitation,Michelle L Daley,,,,0.08,,,,2006,,
61878,ppt6North,08-Aug-06,2:00:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
61879,ppt1Thomp,07-Aug-06,8:30:00 AM,Lamprey,Wet Deposition,,0.93,0.19,0.02,0.10,good,,64.62,,22-Feb-07,0.45,0.10,0.21,0.32,0.12,0.05,0.10,2.90,,0.04,5.47,9.5,9.6,,,,,876,,,Precipitation,Michelle L Daley,,,,0.05,,,,2006,,
61880,ppt1Thomp,08-Aug-06,9:30:00 AM,Lamprey,Wet Deposition,,1.73,0.37,0.06,0.15,good,,171.74,,22-Feb-07,0.74,0.15,0.30,0.23,0.15,0.05,0.05,7.13,,,,,,,,,,99,,Deleted SiO2 0.441; not enough vol for pH Cond,Precipitation,Michelle L Daley,,,,0.02,,,,2006,,
62170,ppt1Thomp,11-Aug-06,8:00:00 AM,Lamprey,Wet Deposition,,3.85,0.97,,0.28,good,,,391.28,16-Oct-06,,0.28,0.43,0.10,0.07,0.02,0.77,,,,,,,,,,,25,,Deleted Cl 4.251; analyzed for C+N + anions/cations,Precipitation,Michelle L Daley,,,,0.12,,,,2006,,
62218,ppt1Thomp,15-Aug-06,9:30:00 AM,Lamprey,Wet Deposition,,1.13,0.33,0.04,0.19,good,,100.93,,22-Feb-07,2.09,0.19,0.62,1.74,0.32,0.13,0.49,5.02,,0.02,4.62,22.8,24,,,,,543.5,,,Precipitation,Michelle L Daley,,,,0.01,,,,2006,,
62219,ppt6North,15-Aug-06,2:00:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,250,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
62274,ppt1Thomp,21-Aug-06,10:00:00 AM,Lamprey,Wet Deposition,,0.39,0.10,0.01,0.03,good,,49.90,,22-Feb-07,0.55,0.03,0.19,0.47,0.09,0.05,0.14,1.96,,0.02,5.84,4,5,,,,,5678.5,,,Precipitation,Heather Gilbert,,,,0.02,,,,2006,,
62279,ppt6North,22-Aug-06,7:45:00 AM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,1280,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
62389,ppt1Thomp,25-Aug-06,8:00:00 AM,Lamprey,Wet Deposition,,2.56,0.70,0.08,0.33,good,,289.51,,22-Feb-07,0.77,0.33,0.45,0.70,0.33,0.06,0.19,4.55,,0.01,5.21,18,17,,,,,197.5,,,Precipitation,Michelle L Daley,,,,0.08,,,,2006,,
62427,ppt1Thomp,28-Aug-06,3:30:00 PM,Lamprey,Wet Deposition,,1.28,0.35,0.03,0.14,good,,181.00,,22-Feb-07,0.46,0.14,0.62,0.27,0.11,0.04,0.02,2.19,,0.09,4.52,16,17,,,,,814,,,Precipitation,Heather Gilbert,,,,0.05,,,,2006,,
62530,ppt1Thomp,29-Aug-06,3:30:00 PM,Lamprey,Wet Deposition,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,39,,not enuf sample to pour off for further testing,Precipitation,Heather Gilbert,,,,,,,,2006,,
62531,ppt6North,29-Aug-06,12:15:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,80,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
62613,ppt1Thomp,05-Sep-06,8:00:00 AM,Lamprey,Wet Deposition,,0.46,0.11,0.02,0.05,good,,32.79,,22-Feb-07,1.98,0.05,0.35,1.05,0.04,0.15,0.06,4.78,,0.03,4.88,10,11,,,,,1131,,,Precipitation,Michelle Daley,,,,0.00,,,,2006,,
62667,ppt6North,05-Sep-06,3:30:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,90,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
62740,ppt1Thomp,06-Sep-06,8:00:00 AM,Lamprey,Wet Deposition,,2.98,0.55,0.14,0.20,good,,212.03,,22-Feb-07,,0.20,0.48,,0.21,0.16,0.51,6.43,,,,,,,,,,48,low volume,Deleted Na (2.544) Cl (2.47); suspect Na is wrong here,Precipitation,Michelle Daley,,,,0.10,,,,2006,,
63012,ppt6North,12-Sep-06,5:00:00 PM,Lamprey,Weekly,,,,,,2 values,,201.85,,,,,,,,,,,,,,,,,,,,60,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
63013,ppt1Thomp,12-Sep-06,8:00:00 AM,Lamprey,Wet Deposition,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,0,cleaned algae off of cover,,Precipitation,Heather Gilbert,,,,,,,,2006,,
63299,ppt1Thomp,15-Sep-06,8:00:00 AM,Lamprey,Wet Deposition,,0.63,0.24,0.02,0.19,good,,31.10,,22-Feb-07,0.53,0.19,0.22,0.70,0.06,0.09,0.13,2.90,,0.05,4.82,,8,,,,,697.5,,,Precipitation,Michelle Daley,,,,0.02,,,,2006,,
63422,ppt1Thomp,21-Sep-06,8:00:00 AM,Lamprey,Wet Deposition,,1.65,0.61,0.03,0.27,good,,312.65,,22-Feb-07,0.41,0.27,0.91,0.31,0.10,0.04,0.06,1.84,,0.02,4.13,,,,,,,1519.5,,,precipitation,Michelle Daley,,,,0.16,,,,2006,,
63529,ppt1Thomp,25-Sep-06,8:00:00 AM,Lamprey,Wet Deposition,,1.43,1.15,0.00,0.75,good,,400.72,,22-Feb-07,1.08,0.75,0.61,0.55,0.08,0.14,0.39,0.90,,0.02,4.28,,19,,,,,959.5,leaf in bucket with precip,,Precipitation,Michelle Daley,,,,0.00,,,,2006,,
63531,ppt6North,26-Sep-06,2:15:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,265,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
63557,ppt1Thomp,29-Sep-06,8:00:00 AM,Lamprey,Wet Deposition,,,,,0.15,good,,,161.07,16-Oct-06,1.23,0.15,0.71,0.33,0.02,0.04,0.16,,,,,,,,,,,30,,ran PO4 unfiltered and saved IC vial; not enough vol for anything else,Precipitation,Michelle Daley,,,,0.05,,,,2006,,
63574,ppt1Thomp,02-Oct-06,8:00:00 AM,Lamprey,Wet Deposition,,0.72,0.40,-0.01,0.24,good,,171.21,,22-Feb-07,3.58,0.24,0.54,1.79,0.11,0.23,0.09,3.37,,0.04,4.65,,22,,,,,1011,,,Precipitation,Michelle Daley,,,,0.00,,,,2006,,
63575,ppt1Thomp,04-Oct-06,8:00:00 AM,Lamprey,Wet Deposition,,,,,1.22,good,,,509.82,16-Oct-06,1.07,1.22,2.03,0.22,0.04,0.05,0.79,,,,,,,,,,,15.5,,,Precipitation,Michelle Daley,,,,0.18,,,,2006,,
63592,ppt6North,10-Oct-06,3:00:00 PM,Lamprey,Weekly,,,,,,2 values,,-0.67,,,,,,,,,,,,,,,,,,,,740,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
63594,ppt1Thomp,06-Oct-06,8:00:00 AM,Lamprey,Wet Deposition,,0.73,0.38,0.01,0.26,good,,102.34,,22-Feb-07,0.32,0.26,0.44,0.33,0.10,0.04,0.05,2.43,,0.05,3.16,,18.8,,,,,195,,,Precipitation,Michelle Daley,,,,0.04,,,,2006,,
63595,ppt1Thomp,12-Oct-06,8:00:00 AM,Lamprey,Wet Deposition,,0.22,0.11,0.01,0.06,good,,36.81,,22-Feb-07,0.96,0.06,0.20,0.52,0.05,0.10,0.05,-0.40,,0.01,5.46,,7,,,,,5149.5,minor debris and a couple bugs in sample,,Precipitation,Michelle Daley,,,,0.00,,,,2006,,
63757,ppt6North,17-Oct-06,2:00:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,80,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
63759,ppt1Thomp,18-Oct-06,8:00:00 AM,Lamprey,Wet Deposition,,0.73,0.39,0.03,0.21,good,,150.06,,22-Feb-07,1.73,0.21,0.42,0.89,0.06,0.12,0.05,3.13,,0.09,3.61,,17.9,,,,,639.5,,,Precipitation,Michelle Daley,,,,0.00,,,,2006,,
63912,ppt1Thomp,20-Oct-06,8:00:00 AM,Lamprey,Wet Deposition,,1.34,1.20,0.01,0.84,good,,356.35,,22-Feb-07,0.35,0.84,0.84,0.31,0.10,0.05,0.09,5.72,,0.07,3.29,,51.5,,,,,186,,,Precipitation,Michelle Daley,,,,0.13,,,,2006,,
63967,ppt1Thomp,23-Oct-06,8:00:00 AM,Lamprey,Wet Deposition,,0.78,0.73,0.02,0.41,good,,292.16,,03-May-07,0.56,0.41,0.82,0.41,0.14,0.00,,3.60,,0.02,4.22,,28,,,,,1779,,Deleted Ca -0.29,Precipitation,Michelle Daley,,,,,,,,2006,,
64016,ppt6North,24-Oct-06,2:45:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,365,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
64135,ppt6North,31-Oct-06,8:15:00 AM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,1600,,,Precipitation,Heather Gilbert,,,,,,,,2006,,
64181,ppt1Thomp,30-Oct-06,8:00:00 AM,Lamprey,Wet Deposition,,0.20,0.08,0.01,0.04,good,,30.21,,22-Feb-07,3.56,0.04,0.27,1.72,0.05,0.28,0.10,1.96,,0.00,6.43,,14,,,,,3988.5,,,Precipitation,Michelle Daley,,,,0.01,,,,2006,,
64336,ppt6North,14-Nov-06,3:15:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,600,cricket blocking the opening of the funnel,,Precipitation,Heather Gilbert,,,,,,,,2006,,
64337,ppt1Thomp,03-Nov-06,9:00:00 AM,Lamprey,Wet Deposition,,0.95,1.01,-0.01,0.68,good,,336.52,,22-Feb-07,0.34,0.68,0.57,0.23,0.05,0.05,0.11,3.37,,0.01,3.8,,25.5,,,,,439,,,Precipitation,Michelle Daley,,,,0.00,,,,2006,,
64338,TF1-JB,30-Oct-06,8:00:00 AM,Lamprey,Wet Deposition,,0.15,0.10,0.02,0.05,good,,32.16,,22-Feb-07,4.38,0.05,0.28,1.81,0.05,0.26,0.12,1.13,,0.00,3.66,,20.66,,,,,,"subset of Julie's sample, should be the same as 64181 but not sure start time of sample",sample was left at room temp until 11/3,Precipitation,Michelle Daley,,,,0.00,,,,2006,,
64356,ppt1Thomp,08-Nov-06,8:00:00 AM,Lamprey,Wet Deposition,,0.30,0.30,0.00,0.20,good,,94.21,,22-Feb-07,0.44,0.20,0.31,0.15,0.01,0.04,0.01,0.00,,0.04,4.62,,9,,,,,463,,,Precipitation,Michelle Daley,,,,0.04,,,,2006,,
64357,ppt1Thomp,09-Nov-06,8:00:00 AM,Lamprey,Wet Deposition,,0.06,0.05,0.01,0.02,good,,15.26,,22-Feb-07,0.28,0.02,0.12,0.06,0.02,0.04,0.03,0.00,,0.00,6.4,,6,,,,,3442,small amount of debris in sample,,Precipitation,Michelle Daley,,,,0.00,,,,2006,,
64358,TF1-JB,09-Nov-06,8:00:00 AM,Lamprey,Wet Deposition,,0.05,0.08,0.02,0.04,good,,12.45,,22-Feb-07,0.29,0.04,0.12,0.16,0.03,0.05,0.06,1.33,,-0.11,,,,,,,,,"same collected by sarah for metals, same start/stop time as our sampling","this sample should be the same as 64357, but check for comparison; SiO2 reran 2/14/08, but was 3.42, kept origional value instead",Precipitation,Michelle Daley,,,,0.02,,,,2006,,
